あ	あめふらし	false
い	いくら	false
う	うま	false
え	えくすぷれす	false
お	おにぎり	false
か	かに	false
き	きかい	false
く	くるま	false
け	けむし	false
こ	こま	false
さ	さる	false
し	しめなわ	false
す	すいえい	false
せ	せとないかい	false
そ	そむりえ	false
た	たい	false
ち	ちきんらいす	false
つ	つりざお	false
て	てがみ	false
と	とまと	false
な	なす	false
に	にもの	false
ぬ	ぬいぐるみ	false
ね	ねんぶつ	false
の	のきした	false
は	はりまなげ	false
ひ	ひこうき	false
ふ	ふれんちとーすと	false
へ	へちま	false
ほ	ほうき	false
ま	まりも	false
み	みさき	false
む	むくどり	false
め	めきしこ	false
も	もも	false
や	やきいも	false
ゆ	ゆーらしあ	false
よ	よふかし	false
ら	らくがき	false
り	りす	false
る	るーまにあ	false
れ	れいわ	false
ろ	ろっく	false
わ	わっか	false
